job_title,company_name,location,is_remote,salary_min,salary_max,skills_required,experience,date_posted,job_url,description
Data Analytics Lead ( Expertise in Power BI & SQL with min 5 & max 7 years exp),Gartner Careers,Gurugram,False,,,,,2026-04-05T00:00:00.000Z,https://jobs.gartner.com/jobs/job/107936-data-analytics-lead-expertise-in-power-bi-sql-with-min-5-max-7-years-exp/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About the Role:

We are seeking a Lead Data Analyst to drive the evolution of content analytics, shaping how we measure, communicate, and maximize the business impact of our insights. This role will focus on developing and operationalizing advanced metrics, scalable data solutions, and automated rep"
Oliver Wyman - Analyst (Power BI) - Hyderabad or Gurugram,Oliver Wyman Group,Gurugram,False,,,,,2026-04-01T00:00:00.000Z,https://careers.marsh.com/global/en/job/MAMCGLOBALR332333EXTERNALENGLOBAL/Oliver-Wyman-Analyst-Power-BI-Hyderabad-or-Gurugram?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Oliver Wyman's Data & Analytics team is looking to hire for a Power BI specialist for our Hyderabad or Gurugram office.

OW DNA Overview

The Oliver Wyman DNA is a distinguished center of excellence for business analytics and data analytics within Oliver Wyman. This group leverages data and informat"
Senior Developer - Power BI & Analytics,Sandvik Coromant,Pimpri-Chinchwad,False,,,,,2026-04-05T00:00:00.000Z,https://in.linkedin.com/jobs/view/senior-developer-power-bi-analytics-at-sandvik-coromant-4352268103?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Title: Senior Developer-Power BI and Analytics

Job Requisition: R0086181

No. of Vacancies: 1

Location: Pune

Full time /Part Time: Full time

Regular /Temporary: Regular

SANDVIK COROMANT is the world’s leading supplier of tools, tooling solutions and know-how to the metalworking industry. Wi"
Data Analyst- Power BI (Advanced),Ricoh España,IN,False,,,,,2026-04-06T00:00:00.000Z,https://www.shine.com/jobs/data-analyst-power-bi-advanced/ricoh-espana/18887685?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Role Overview:
You have the opportunity to join a company where your ideas are not only welcomed but also drive the evolution. You are encouraged to be the architect of your own success, exploring innovative projects and constantly challenging your limits. The company focuses on Workplace (Communica"
Oliver Wyman - Analyst (Power BI) - Hyderabad or Gurugram,Oliver Wyman Group,Gurugram,False,,,,,2026-04-01T00:00:00.000Z,https://careers.marsh.com/eu/en/job/R_332333/Oliver-Wyman-Analyst-Power-BI-Hyderabad-or-Gurugram?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Oliver Wyman's Data & Analytics team is looking to hire for a Power BI specialist for our Hyderabad or Gurugram office.

OW DNA Overview

The Oliver Wyman DNA is a distinguished center of excellence for business analytics and data analytics within Oliver Wyman. This group leverages data and informat"
Finance Analyst- FP&A Power BI -CA -3+yrs exp,Cisco,Bengaluru,False,,,,,2026-04-02T00:00:00.000Z,https://careers.cisco.com/global/en/job/CISCISGLOBAL1450638EXTERNALENGLOBAL/Finance-Analyst-FP-A-Power-BI-CA-3-yrs-exp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Meet the Team

Join Cisco's Financial Planning & Analysis (FP&A) Center of Excellence (CoE) team, where financial expertise and strategic insights drive the planning and decision-making processes for Cisco's global operations. Based in Bangalore, our team supports regional Sales and Services organiz"
Business Intelligence (BI) Data Analysis - Entry Professional,Schneider Electric,Gurugram,False,,,,,2026-03-22T00:00:00.000Z,https://careers.se.com/jobs/108957?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Join our dynamic team as a Business Intelligence (BI) Data Analyst and help transform raw data into actionable insights that drive business success! Be part of an innovative environment where your analytical skills will directly impact global supply chain digitization and process automation.
• About"
Data/SQL Analyst - Power BI,KC Overseas Education,Nagpur,False,,,,,2026-04-07T00:00:00.000Z,https://www.shine.com/jobs/data-sql-analyst-power-bi/kc-overseas-education/18902860?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"You will be joining KC Overseas Education, a thriving Multinational EdTech company with a strong presence in 11 global locations across South Asia, South-East Asia, and Africa, and rapidly expanding worldwide. With a team of 850+ professionals, we are revolutionizing access to overseas education thr"
Power BI Engineer,SEI1GLOBAL,Kolkata,False,,,,,2026-03-28T00:00:00.000Z,https://careers.seic.com/global/en/job/R0035756/Power-BI-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"SEI is looking for a talented and detail-oriented Power BI Developer (Software Engineer II) to join our team. In this role, you will design, develop and maintain scalable BI solutions using Microsoft Power BI. You will collaborate closely with multiple stakeholders to understand reporting needs and "
IT Engineer – Power BI Expert,BNP Paribas India Solutions,Chennai,False,,,,,2026-03-26T00:00:00.000Z,https://group.bnpparibas/en/careers/job-offer/it-engineer-power-bi-expert?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Title: IT Engineer – Power BI Expert

Department: ITGP

About Business line/Function:

BNL's Information Technology (IT) Area is a partner of the bank and the companies of the BNL BC Group for the digital evolution of operational and business models through the design, planning and implementatio"
Opportunity for Power BI Developer,Hinduja Tech Limited,IN,False,,,,,2026-03-28T00:00:00.000Z,https://in.linkedin.com/jobs/view/opportunity-for-power-bi-developer-at-hinduja-tech-limited-4393709747?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Overall 5+ year of experience

Power Apps
• Hands-on experience in designing and developing applications using Microsoft PowerApps (Canvas App and Model-Driven App).
• Experience in designing SharePoint site as a database for Power Apps application.
• Experience in creating different types of Power "
Power BI Data Analyst Intern,Abdul Latif Jameel,Jamnagar,False,,,,,2026-04-01T00:00:00.000Z,https://bebee.com/in/jobs/power-bi-data-analyst-intern-abdul-latif-jameel-jamnagar--tideri-07583601-b83b-4e15-9b08-6a798abea7a1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"PMO Intern – Data Specialist (Power BI & Data Warehouse)

We are looking for a motivated PMO Intern – Data Specialist to support the Corporate Digital & IT Project Management Office. The intern will assist in designing and maintaining data warehouse solutions and developing Power BI dashboards that "
Sr BI Developer,Thermo Fisher Scientific,Bengaluru,False,,,,,2026-04-05T00:00:00.000Z,https://jobs.thermofisher.com/global/en/job/R-01348304/Sr-BI-Developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Work Schedule
Other

Environmental Conditions
Office

Job Description

Position Summary:

The Sr BA/BI Developer is responsible for designing, developing, and delivering scalable business intelligence and analytics solutions that support data-driven decision-making across services and operational do"
Data Analyst: Excel Power BI,PolyWorks India,IN,False,,,,,2026-04-06T00:00:00.000Z,https://in.jooble.org/rjdp/7199649535682715251?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"The Gateway team is looking for a Data Analyst to create data enablement tools that support InnovMetric’s Digital Thread. In this role, you will design dashboards, build data integrations, and create API based solutions that make dimensional data accessible to internal teams, partners, and customers"
